Format Version,1.2,Take Name,dir_left_or_bottom_dx_lin,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-03-26 10.25.35.023 AM,Total Frames,1734,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,arm_shoulder,arm_shoulder,arm_shoulder,arm_hand,arm_hand,arm_hand,arm_elbow,arm_elbow,arm_elbow,arm_EE,arm_EE,arm_EE,arm_finger,arm_finger,arm_finger,Marker_119,Marker_119,Marker_119,Marker_125,Marker_125,Marker_125,Marker_123,Marker_123,Marker_123,Marker_129,Marker_129,Marker_129
,,"8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E357077","8392B20CF49E357077","8392B20CF49E357077","8392B20CF49E35707D","8392B20CF49E35707D","8392B20CF49E35707D","8392B20CF49E35707B","8392B20CF49E35707B","8392B20CF49E35707B","8392B20CF49E357081","8392B20CF49E357081","8392B20CF49E357081"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
31,0.516667,0.206140,0.209958,-0.005152,0.349300,-0.188413,-0.245746,0.299667,-0.104142,0.013310,0.322804,-0.168678,-0.385473,0.332627,-0.216096,-0.353700,,,,,,,,,,,,
32,0.533333,0.206051,0.210308,-0.008082,0.349443,-0.186790,-0.260948,0.300924,-0.103579,-0.001386,0.322588,-0.166492,-0.400537,0.332591,-0.214041,-0.368978,,,,,,,,,,,,
33,0.550000,0.205912,0.210496,-0.010880,0.349569,-0.184877,-0.275899,0.301938,-0.102737,-0.015904,0.322061,-0.164380,-0.415347,0.332548,-0.211934,-0.384005,,,,,,,,,,,,
34,0.566667,0.205752,0.210365,-0.013685,0.349591,-0.183008,-0.290791,0.302688,-0.101647,-0.030164,0.320872,-0.162498,-0.429967,0.331987,-0.210009,-0.398832,,,,,,,,,,,,
35,0.583333,0.205604,0.210038,-0.016390,0.349229,-0.181525,-0.305500,0.303315,-0.100298,-0.044116,0.319208,-0.160953,-0.444348,0.330735,-0.208479,-0.413400,,,,,,,,,,,,
36,0.600000,0.205503,0.209614,-0.019048,0.348467,-0.180222,-0.319848,0.303682,-0.098818,-0.057887,0.317276,-0.159842,-0.458439,0.329081,-0.207345,-0.427554,,,,,,,,,,,,
37,0.616667,0.205555,0.209123,-0.021618,0.347459,-0.178887,-0.333723,0.303680,-0.097325,-0.071466,0.315484,-0.159065,-0.472261,0.327582,-0.206477,-0.441253,,,,,,,,,,,,
38,0.633333,0.205753,0.208552,-0.024284,0.346403,-0.177587,-0.347233,0.303173,-0.095763,-0.084838,0.313936,-0.158243,-0.485720,0.326277,-0.205584,-0.454681,,,,,,,,,,,,
39,0.650000,0.205998,0.207789,-0.027081,0.345351,-0.176409,-0.360622,0.302128,-0.094168,-0.097792,0.312404,-0.157294,-0.499044,0.324839,-0.204670,-0.467962,,,,,,,,,,,,
40,0.666667,0.206431,0.206841,-0.029890,0.344271,-0.175468,-0.374036,0.300783,-0.092542,-0.110414,0.310379,-0.156257,-0.512255,0.322781,-0.203831,-0.481147,,,,,,,,,,,,
